attribute,value,reactorName
Model,BWR-4 (Mark 1),PEACH%20BOTTOM-3
Owner,"Exelon Corp. (50%), PSEG Power (50%)",PEACH%20BOTTOM-3
Operator,"Exelon Generation Co., Llc",PEACH%20BOTTOM-3
Construction Start,"Wednesday, 31 January 1968",PEACH%20BOTTOM-3
First Criticality,"Wednesday, 7 August 1974",PEACH%20BOTTOM-3
First Grid Connection,"Sunday, 1 September 1974",PEACH%20BOTTOM-3
Commercial Operation,"Monday, 23 December 1974",PEACH%20BOTTOM-3
Capacity Net,1331 MWe,PEACH%20BOTTOM-3
Capacity Gross,1412 MWe,PEACH%20BOTTOM-3
Thermal Capacity,3951 MWt,PEACH%20BOTTOM-3
Design Net Capacity,1065 MWe,PEACH%20BOTTOM-3
Total GWh,383185.94,PEACH%20BOTTOM-3
Reactor Type,Boiling Water Reactor (or BWR),PERRY-1
Model,BWR-6 (Mark 3),PERRY-1
Owner,Cleveland Electric Illuminating Co.,PERRY-1
Operator,First Energy Nuclear Operating Co.,PERRY-1
Construction Start,"Tuesday, 1 October 1974",PERRY-1
First Criticality,"Friday, 6 June 1986",PERRY-1
First Grid Connection,"Friday, 19 December 1986",PERRY-1
Commercial Operation,"Wednesday, 18 November 1987",PERRY-1
Capacity Net,1240 MWe,PERRY-1
Capacity Gross,1303 MWe,PERRY-1
Thermal Capacity,3758 MWt,PERRY-1
Design Net Capacity,1205 MWe,PERRY-1
Total GWh,316301.91,PERRY-1
Reactor Type,Boiling Water Reactor (or BWR),PILGRIM-1
Model,BWR-3 (Mark 1),PILGRIM-1
Owner,"Entergy Nuclear Operations, Inc.",PILGRIM-1
Operator,"Entergy Nuclear Operations, Inc.",PILGRIM-1
Construction Start,"Monday, 26 August 1968",PILGRIM-1
First Criticality,"Friday, 16 June 1972",PILGRIM-1
First Grid Connection,"Wednesday, 19 July 1972",PILGRIM-1
Commercial Operation,"Friday, 1 December 1972",PILGRIM-1
Permanent Shutdown,"Friday, 31 May 2019",PILGRIM-1
Capacity Net,677 MWe,PILGRIM-1
Capacity Gross,711 MWe,PILGRIM-1
Thermal Capacity,2028 MWt,PILGRIM-1
Design Net Capacity,655 MWe,PILGRIM-1
Total GWh,194153.8,PILGRIM-1
Reactor Type,Other (or X),PIQUA
Model,OCM (Organically Cooled and Moderated Reactor),PIQUA
Owner,U.S. Atomic Energy Commission,PIQUA
Operator,City Of Piqua Government,PIQUA
Construction Start,"Friday, 1 January 1960",PIQUA
First Criticality,"Sunday, 1 January 1961",PIQUA
First Grid Connection,"Monday, 1 July 1963",PIQUA
Commercial Operation,"Friday, 1 November 1963",PIQUA
Permanent Shutdown,"Saturday, 1 January 1966",PIQUA
Capacity Net,12 MWe,PIQUA
Capacity Gross,12 MWe,PIQUA
Thermal Capacity,46 MWt,PIQUA
Design Net Capacity,11 MWe,PIQUA
Total GWh,0,PIQUA
Reactor Type,Pressurised Water Reactor (or PWR),POINT%20BEACH-1
Model,W (2-loop) DRYAMB,POINT%20BEACH-1
Owner,"Nextera Energy Resources, Llc",POINT%20BEACH-1
Operator,"Nextera Energy Resources, Llc",POINT%20BEACH-1
Construction Start,"Wednesday, 19 July 1967",POINT%20BEACH-1
First Criticality,"Monday, 2 November 1970",POINT%20BEACH-1
First Grid Connection,"Friday, 6 November 1970",POINT%20BEACH-1
Commercial Operation,"Monday, 21 December 1970",POINT%20BEACH-1
Capacity Net,591 MWe,POINT%20BEACH-1
Capacity Gross,640 MWe,POINT%20BEACH-1
Thermal Capacity,1800 MWt,POINT%20BEACH-1
Design Net Capacity,497 MWe,POINT%20BEACH-1
Total GWh,200230.53,POINT%20BEACH-1
Reactor Type,Pressurised Water Reactor (or PWR),POINT%20BEACH-2
Model,W (2-loop) DRYAMB,POINT%20BEACH-2
Owner,"Nextera Energy Resources, Llc",POINT%20BEACH-2
Operator,"Nextera Energy Resources, Llc",POINT%20BEACH-2
Construction Start,"Thursday, 25 July 1968",POINT%20BEACH-2
First Criticality,"Tuesday, 30 May 1972",POINT%20BEACH-2
First Grid Connection,"Wednesday, 2 August 1972",POINT%20BEACH-2
Commercial Operation,"Sunday, 1 October 1972",POINT%20BEACH-2
Capacity Net,591 MWe,POINT%20BEACH-2
Capacity Gross,640 MWe,POINT%20BEACH-2
Thermal Capacity,1800 MWt,POINT%20BEACH-2
Design Net Capacity,497 MWe,POINT%20BEACH-2
Total GWh,199953.32,POINT%20BEACH-2
Reactor Type,Pressurised Water Reactor (or PWR),PRAIRIE%20ISLAND-1
Model,W (2-loop) DRYAMB,PRAIRIE%20ISLAND-1
Owner,Xcel Energy,PRAIRIE%20ISLAND-1
Operator,Northern States Power Co. (Subsidiary Of Xcel Energy),PRAIRIE%20ISLAND-1
Construction Start,"Tuesday, 25 June 1968",PRAIRIE%20ISLAND-1
First Criticality,"Saturday, 1 December 1973",PRAIRIE%20ISLAND-1
First Grid Connection,"Tuesday, 4 December 1973",PRAIRIE%20ISLAND-1
Commercial Operation,"Sunday, 16 December 1973",PRAIRIE%20ISLAND-1
Capacity Net,522 MWe,PRAIRIE%20ISLAND-1
Capacity Gross,566 MWe,PRAIRIE%20ISLAND-1
Thermal Capacity,1677 MWt,PRAIRIE%20ISLAND-1
Design Net Capacity,530 MWe,PRAIRIE%20ISLAND-1
Total GWh,197976.37,PRAIRIE%20ISLAND-1
Reactor Type,Pressurised Water Reactor (or PWR),PRAIRIE%20ISLAND-2
Model,W (2-loop) DRYAMB,PRAIRIE%20ISLAND-2
Owner,Xcel Energy,PRAIRIE%20ISLAND-2
Operator,Northern States Power Co. (Subsidiary Of Xcel Energy),PRAIRIE%20ISLAND-2
Construction Start,"Wednesday, 25 June 1969",PRAIRIE%20ISLAND-2
First Criticality,"Tuesday, 17 December 1974",PRAIRIE%20ISLAND-2
First Grid Connection,"Saturday, 21 December 1974",PRAIRIE%20ISLAND-2
Commercial Operation,"Saturday, 21 December 1974",PRAIRIE%20ISLAND-2
Capacity Net,519 MWe,PRAIRIE%20ISLAND-2
Capacity Gross,560 MWe,PRAIRIE%20ISLAND-2
Thermal Capacity,1677 MWt,PRAIRIE%20ISLAND-2
Design Net Capacity,530 MWe,PRAIRIE%20ISLAND-2
Total GWh,195673.5,PRAIRIE%20ISLAND-2
Reactor Type,Boiling Water Reactor (or BWR),QUAD%20CITIES-1
Model,BWR-3 (Mark 1),QUAD%20CITIES-1
Owner,"Exelon (75%)

Midamerican Energy (25%)",QUAD%20CITIES-1
Operator,"Exelon Generation Co., Llc",QUAD%20CITIES-1
Construction Start,"Wednesday, 15 February 1967",QUAD%20CITIES-1
First Criticality,"Monday, 18 October 1971",QUAD%20CITIES-1
First Grid Connection,"Wednesday, 12 April 1972",QUAD%20CITIES-1
Commercial Operation,"Sunday, 18 February 1973",QUAD%20CITIES-1
Capacity Net,908 MWe,QUAD%20CITIES-1
Capacity Gross,940 MWe,QUAD%20CITIES-1
Thermal Capacity,2957 MWt,QUAD%20CITIES-1
Design Net Capacity,789 MWe,QUAD%20CITIES-1
Total GWh,295636.76,QUAD%20CITIES-1
Reactor Type,Boiling Water Reactor (or BWR),QUAD%20CITIES-2
Model,BWR-3 (Mark 1),QUAD%20CITIES-2
Owner,"Exelon (75%)

Midamerican Energy (25%)",QUAD%20CITIES-2
Operator,"Exelon Generation Co., Llc",QUAD%20CITIES-2
Construction Start,"Wednesday, 15 February 1967",QUAD%20CITIES-2
First Criticality,"Wednesday, 26 April 1972",QUAD%20CITIES-2
First Grid Connection,"Tuesday, 23 May 1972",QUAD%20CITIES-2
Commercial Operation,"Saturday, 10 March 1973",QUAD%20CITIES-2
Capacity Net,911 MWe,QUAD%20CITIES-2
Capacity Gross,940 MWe,QUAD%20CITIES-2
Thermal Capacity,2957 MWt,QUAD%20CITIES-2
Design Net Capacity,789 MWe,QUAD%20CITIES-2
Total GWh,290629.72,QUAD%20CITIES-2
Reactor Type,Pressurised Water Reactor (or PWR),GINNA
Model,W (2-loop),GINNA
Owner,Exelon Corporation,GINNA
Operator,"Exelon Generation Co., Llc",GINNA
Construction Start,"Monday, 25 April 1966",GINNA
First Criticality,"Saturday, 8 November 1969",GINNA
First Grid Connection,"Tuesday, 2 December 1969",GINNA
Commercial Operation,"Wednesday, 1 July 1970",GINNA
Capacity Net,560 MWe,GINNA
Capacity Gross,608 MWe,GINNA
Thermal Capacity,1775 MWt,GINNA
Design Net Capacity,470 MWe,GINNA
Total GWh,204795.6,GINNA
Reactor Type,Pressurised Water Reactor (or PWR),RANCHO%20SECO-1
Model,PWR,RANCHO%20SECO-1
Owner,Sacramento Municipal Utility District,RANCHO%20SECO-1
Operator,Sacramento Municipal Utility District,RANCHO%20SECO-1
Construction Start,"Tuesday, 1 April 1969",RANCHO%20SECO-1
First Criticality,"Monday, 16 September 1974",RANCHO%20SECO-1
First Grid Connection,"Sunday, 13 October 1974",RANCHO%20SECO-1
Commercial Operation,"Thursday, 17 April 1975",RANCHO%20SECO-1
Permanent Shutdown,"Wednesday, 7 June 1989",RANCHO%20SECO-1
Capacity Net,873 MWe,RANCHO%20SECO-1
Capacity Gross,917 MWe,RANCHO%20SECO-1
Thermal Capacity,2772 MWt,RANCHO%20SECO-1
Design Net Capacity,918 MWe,RANCHO%20SECO-1
Total GWh,44747.23,RANCHO%20SECO-1
Reactor Type,Boiling Water Reactor (or BWR),RIVER%20BEND-1
Model,BWR-6 (Mark 3),RIVER%20BEND-1
Owner,"Entergy Gulf States, Inc.",RIVER%20BEND-1
Operator,"Entergy Nuclear Operations, Inc.",RIVER%20BEND-1
Construction Start,"Friday, 25 March 1977",RIVER%20BEND-1
First Criticality,"Thursday, 31 October 1985",RIVER%20BEND-1
First Grid Connection,"Tuesday, 3 December 1985",RIVER%20BEND-1
Commercial Operation,"Monday, 16 June 1986",RIVER%20BEND-1
Capacity Net,967 MWe,RIVER%20BEND-1
Capacity Gross,1016 MWe,RIVER%20BEND-1
Thermal Capacity,3091 MWt,RIVER%20BEND-1
Design Net Capacity,966 MWe,RIVER%20BEND-1
Total GWh,258236.99,RIVER%20BEND-1
Reactor Type,Pressurised Water Reactor (or PWR),SALEM-1
Model,W (4-loop) DRYAMB,SALEM-1
Owner,PSEG Power Inc,SALEM-1
Operator,PSEG Nuclear LLC,SALEM-1
Construction Start,"Wednesday, 25 September 1968",SALEM-1
First Criticality,"Saturday, 11 December 1976",SALEM-1
First Grid Connection,"Saturday, 25 December 1976",SALEM-1
Commercial Operation,"Thursday, 30 June 1977",SALEM-1
Capacity Net,1169 MWe,SALEM-1
Capacity Gross,1254 MWe,SALEM-1
Thermal Capacity,3459 MWt,SALEM-1
Design Net Capacity,1090 MWe,SALEM-1
Total GWh,331860.89,SALEM-1
Reactor Type,Pressurised Water Reactor (or PWR),SALEM-2
Model,W (4-loop) DRYAMB,SALEM-2
Owner,PSEG Power Inc,SALEM-2
Operator,PSEG Nuclear LLC,SALEM-2
Construction Start,"Wednesday, 25 September 1968",SALEM-2
First Criticality,"Friday, 8 August 1980",SALEM-2
First Grid Connection,"Wednesday, 3 June 1981",SALEM-2
Commercial Operation,"Tuesday, 13 October 1981",SALEM-2
Capacity Net,1158 MWe,SALEM-2
Capacity Gross,1200 MWe,SALEM-2
Thermal Capacity,3459 MWt,SALEM-2
Design Net Capacity,1115 MWe,SALEM-2
Total GWh,310946.78,SALEM-2
Reactor Type,Pressurised Water Reactor (or PWR),SAN%20ONOFRE-1
Model,PWR,SAN%20ONOFRE-1
Owner,Southern California Edison Co.,SAN%20ONOFRE-1
Operator,Southern California Edison Co.,SAN%20ONOFRE-1
Construction Start,"Friday, 1 May 1964",SAN%20ONOFRE-1
First Criticality,"Wednesday, 14 June 1967",SAN%20ONOFRE-1
First Grid Connection,"Sunday, 16 July 1967",SAN%20ONOFRE-1
Commercial Operation,"Monday, 1 January 1968",SAN%20ONOFRE-1
Permanent Shutdown,"Monday, 30 November 1992",SAN%20ONOFRE-1
Capacity Net,436 MWe,SAN%20ONOFRE-1
Capacity Gross,456 MWe,SAN%20ONOFRE-1
Thermal Capacity,1347 MWt,SAN%20ONOFRE-1
Design Net Capacity,436 MWe,SAN%20ONOFRE-1
Total GWh,46671.76,SAN%20ONOFRE-1
Reactor Type,Pressurised Water Reactor (or PWR),SAN%20ONOFRE-2
Model,CE (2-loop) DRYAMB,SAN%20ONOFRE-2
Owner,Southern California Edison Co.,SAN%20ONOFRE-2
Operator,Southern California Edison Co.,SAN%20ONOFRE-2
Construction Start,"Friday, 1 March 1974",SAN%20ONOFRE-2
First Criticality,"Monday, 26 July 1982",SAN%20ONOFRE-2
First Grid Connection,"Monday, 20 September 1982",SAN%20ONOFRE-2
Commercial Operation,"Monday, 8 August 1983",SAN%20ONOFRE-2
Permanent Shutdown,"Friday, 7 June 2013",SAN%20ONOFRE-2
Capacity Net,1070 MWe,SAN%20ONOFRE-2
Capacity Gross,1127 MWe,SAN%20ONOFRE-2
Thermal Capacity,3438 MWt,SAN%20ONOFRE-2
Design Net Capacity,1070 MWe,SAN%20ONOFRE-2
Total GWh,219226.91,SAN%20ONOFRE-2
Reactor Type,Pressurised Water Reactor (or PWR),SAN%20ONOFRE-3
Model,CE (2-loop) DRYAMB,SAN%20ONOFRE-3
Owner,Southern California Edison Co.,SAN%20ONOFRE-3
Operator,Southern California Edison Co.,SAN%20ONOFRE-3
Construction Start,"Friday, 1 March 1974",SAN%20ONOFRE-3
First Criticality,"Monday, 29 August 1983",SAN%20ONOFRE-3
First Grid Connection,"Sunday, 25 September 1983",SAN%20ONOFRE-3
Commercial Operation,"Sunday, 1 April 1984",SAN%20ONOFRE-3
Permanent Shutdown,"Friday, 7 June 2013",SAN%20ONOFRE-3
Capacity Net,1080 MWe,SAN%20ONOFRE-3
Capacity Gross,1127 MWe,SAN%20ONOFRE-3
Thermal Capacity,3438 MWt,SAN%20ONOFRE-3
Design Net Capacity,1070 MWe,SAN%20ONOFRE-3
Total GWh,215660.44,SAN%20ONOFRE-3
Reactor Type,Pressurised Water Reactor (or PWR),SAXTON
Model,25,SAXTON
Owner,Saxton Nuclear Experimanetal Corp.,SAXTON
Operator,Saxton Nuclear Experimental Reactor Corporation,SAXTON
Construction Start,"Friday, 1 January 1960",SAXTON
First Criticality,"Sunday, 1 January 1967",SAXTON
First Grid Connection,"Wednesday, 1 March 1967",SAXTON
Commercial Operation,"Wednesday, 1 March 1967",SAXTON
Permanent Shutdown,"Monday, 1 May 1972",SAXTON
Capacity Net,3 MWe,SAXTON
Capacity Gross,3 MWe,SAXTON
Thermal Capacity,24 MWt,SAXTON
Design Net Capacity,3 MWe,SAXTON
Total GWh,0,SAXTON
Reactor Type,Pressurised Water Reactor (or PWR),SEABROOK-1
Model,W (4-loop) DRYAMB,SEABROOK-1
Owner,"Nextera Energy Resources, Llc",SEABROOK-1
Operator,"Nextera Energy Resources, Llc",SEABROOK-1
Construction Start,"Wednesday, 7 July 1976",SEABROOK-1
First Criticality,"Tuesday, 13 June 1989",SEABROOK-1
First Grid Connection,"Tuesday, 29 May 1990",SEABROOK-1
Commercial Operation,"Sunday, 19 August 1990",SEABROOK-1
Capacity Net,1246 MWe,SEABROOK-1
Capacity Gross,1296 MWe,SEABROOK-1
Thermal Capacity,3648 MWt,SEABROOK-1
Design Net Capacity,1149 MWe,SEABROOK-1
Total GWh,310151.14,SEABROOK-1
Reactor Type,Pressurised Water Reactor (or PWR),SEQUOYAH-1
Model,W (4-loop) ICECND,SEQUOYAH-1
Owner,Tennessee Valley Authority,SEQUOYAH-1
Operator,Tennessee Valley Authority,SEQUOYAH-1
Construction Start,"Wednesday, 27 May 1970",SEQUOYAH-1
First Criticality,"Saturday, 5 July 1980",SEQUOYAH-1
First Grid Connection,"Tuesday, 22 July 1980",SEQUOYAH-1
Commercial Operation,"Wednesday, 1 July 1981",SEQUOYAH-1
Capacity Net,1152 MWe,SEQUOYAH-1
Capacity Gross,1221 MWe,SEQUOYAH-1
Thermal Capacity,3455 MWt,SEQUOYAH-1
Design Net Capacity,1148 MWe,SEQUOYAH-1
Total GWh,327004.71,SEQUOYAH-1
Reactor Type,Pressurised Water Reactor (or PWR),SEQUOYAH-2
Model,W (4-loop) (ICECND),SEQUOYAH-2
Owner,Tennessee Valley Authority,SEQUOYAH-2
Operator,Tennessee Valley Authority,SEQUOYAH-2
Construction Start,"Wednesday, 27 May 1970",SEQUOYAH-2
First Criticality,"Thursday, 5 November 1981",SEQUOYAH-2
First Grid Connection,"Wednesday, 23 December 1981",SEQUOYAH-2
Commercial Operation,"Tuesday, 1 June 1982",SEQUOYAH-2
Capacity Net,1139 MWe,SEQUOYAH-2
Capacity Gross,1200 MWe,SEQUOYAH-2
Thermal Capacity,3455 MWt,SEQUOYAH-2
Design Net Capacity,1148 MWe,SEQUOYAH-2
Total GWh,327214.36,SEQUOYAH-2
Reactor Type,Pressurised Water Reactor (or PWR),HARRIS-1
Model,W (3-loop) DRYAMB,HARRIS-1
Owner,"Progress Energy Carolinas, Inc.",HARRIS-1
Operator,Progress Energy,HARRIS-1
Construction Start,"Saturday, 28 January 1978",HARRIS-1
First Criticality,"Saturday, 3 January 1987",HARRIS-1
First Grid Connection,"Monday, 19 January 1987",HARRIS-1
Commercial Operation,"Saturday, 2 May 1987",HARRIS-1
Capacity Net,964 MWe,HARRIS-1
Capacity Gross,980 MWe,HARRIS-1
Thermal Capacity,2900 MWt,HARRIS-1
Design Net Capacity,900 MWe,HARRIS-1
Total GWh,255220.24,HARRIS-1
Reactor Type,Pressurised Water Reactor (or PWR),SHIPPINGPORT
Model,PLWBR,SHIPPINGPORT
Owner,Department Of Energy And Duquesne Light Co.,SHIPPINGPORT
Operator,Department Of Energy And Duquesne Light Co.,SHIPPINGPORT
Construction Start,"Sunday, 1 May 1955",SHIPPINGPORT
First Criticality,"Monday, 2 December 1957",SHIPPINGPORT
First Grid Connection,"Wednesday, 18 December 1957",SHIPPINGPORT
Commercial Operation,"Monday, 26 May 1958",SHIPPINGPORT
Permanent Shutdown,"Friday, 1 October 1982",SHIPPINGPORT
Capacity Net,60 MWe,SHIPPINGPORT
Capacity Gross,68 MWe,SHIPPINGPORT
Thermal Capacity,236 MWt,SHIPPINGPORT
Design Net Capacity,60 MWe,SHIPPINGPORT
Total GWh,0,SHIPPINGPORT
Reactor Type,Boiling Water Reactor (or BWR),SHOREHAM
Model,-,SHOREHAM
Owner,Long Island Lighting Company,SHOREHAM
Operator,Long Island Power Authority,SHOREHAM
Construction Start,"Wednesday, 1 November 1972",SHOREHAM
First Criticality,"Friday, 1 February 1985",SHOREHAM
First Grid Connection,"Friday, 1 August 1986",SHOREHAM
Commercial Operation,,SHOREHAM
Permanent Shutdown,"Monday, 1 May 1989",SHOREHAM
Capacity Net,820 MWe,SHOREHAM
Capacity Gross,849 MWe,SHOREHAM
Thermal Capacity,2436 MWt,SHOREHAM
Design Net Capacity,809 MWe,SHOREHAM
Total GWh,0,SHOREHAM
Reactor Type,Pressurised Water Reactor (or PWR),SOUTH%20TEXAS-1
Model,W (4-loop),SOUTH%20TEXAS-1
Owner,"NRG Energy, Inc",SOUTH%20TEXAS-1
Operator,STP Nuclear Operating Co.,SOUTH%20TEXAS-1
Construction Start,"Monday, 22 December 1975",SOUTH%20TEXAS-1
First Criticality,"Tuesday, 8 March 1988",SOUTH%20TEXAS-1
First Grid Connection,"Wednesday, 30 March 1988",SOUTH%20TEXAS-1
Commercial Operation,"Thursday, 25 August 1988",SOUTH%20TEXAS-1
Capacity Net,1280 MWe,SOUTH%20TEXAS-1
Capacity Gross,1354 MWe,SOUTH%20TEXAS-1
Thermal Capacity,3853 MWt,SOUTH%20TEXAS-1
Design Net Capacity,1250 MWe,SOUTH%20TEXAS-1
Total GWh,336526.12,SOUTH%20TEXAS-1
Reactor Type,Pressurised Water Reactor (or PWR),SOUTH%20TEXAS-2
Model,W (4-loop) DRYAMB,SOUTH%20TEXAS-2
Owner,"NRG Energy, Inc",SOUTH%20TEXAS-2
Operator,STP Nuclear Operating Co.,SOUTH%20TEXAS-2
Construction Start,"Monday, 22 December 1975",SOUTH%20TEXAS-2
First Criticality,"Sunday, 12 March 1989",SOUTH%20TEXAS-2
First Grid Connection,"Tuesday, 11 April 1989",SOUTH%20TEXAS-2
Commercial Operation,"Monday, 19 June 1989",SOUTH%20TEXAS-2
Capacity Net,1280 MWe,SOUTH%20TEXAS-2
Capacity Gross,1354 MWe,SOUTH%20TEXAS-2
Thermal Capacity,3853 MWt,SOUTH%20TEXAS-2
Design Net Capacity,1250 MWe,SOUTH%20TEXAS-2
Total GWh,328344,SOUTH%20TEXAS-2
Reactor Type,Pressurised Water Reactor (or PWR),ST.%20LUCIE-1
Model,COMB CE DRYAMB,ST.%20LUCIE-1
Owner,Florida Power & Light Co.,ST.%20LUCIE-1
Operator,Florida Power & Light Co.,ST.%20LUCIE-1
Construction Start,"Wednesday, 1 July 1970",ST.%20LUCIE-1
First Criticality,"Thursday, 22 April 1976",ST.%20LUCIE-1
First Grid Connection,"Friday, 7 May 1976",ST.%20LUCIE-1
Commercial Operation,"Tuesday, 21 December 1976",ST.%20LUCIE-1
Capacity Net,981 MWe,ST.%20LUCIE-1
Capacity Gross,1045 MWe,ST.%20LUCIE-1
Thermal Capacity,3020 MWt,ST.%20LUCIE-1
Design Net Capacity,830 MWe,ST.%20LUCIE-1
Total GWh,299951.16,ST.%20LUCIE-1
Reactor Type,Pressurised Water Reactor (or PWR),ST.%20LUCIE-2
Model,COMB CE DRYAMB,ST.%20LUCIE-2
Owner,Florida Power & Light Co.,ST.%20LUCIE-2
Operator,Florida Power & Light Co.,ST.%20LUCIE-2
Construction Start,"Thursday, 2 June 1977",ST.%20LUCIE-2
First Criticality,"Thursday, 2 June 1983",ST.%20LUCIE-2
First Grid Connection,"Monday, 13 June 1983",ST.%20LUCIE-2
Commercial Operation,"Monday, 8 August 1983",ST.%20LUCIE-2
Capacity Net,987 MWe,ST.%20LUCIE-2
Capacity Gross,1050 MWe,ST.%20LUCIE-2
Thermal Capacity,3020 MWt,ST.%20LUCIE-2
Design Net Capacity,830 MWe,ST.%20LUCIE-2
Total GWh,269596.74,ST.%20LUCIE-2
Reactor Type,Pressurised Water Reactor (or PWR),SURRY-1
Model,W (3-loop) DRYSUB,SURRY-1
Owner,"Dominion Resources, Inc.",SURRY-1
Operator,Dominion Energy,SURRY-1
Construction Start,"Tuesday, 25 June 1968",SURRY-1
First Criticality,"Saturday, 1 July 1972",SURRY-1
First Grid Connection,"Tuesday, 4 July 1972",SURRY-1
Commercial Operation,"Friday, 22 December 1972",SURRY-1
Capacity Net,838 MWe,SURRY-1
Capacity Gross,890 MWe,SURRY-1
Thermal Capacity,2587 MWt,SURRY-1
Design Net Capacity,788 MWe,SURRY-1
Total GWh,284999.01,SURRY-1
Reactor Type,Pressurised Water Reactor (or PWR),SURRY-2
Model,W (3-loop) DRYSUB,SURRY-2
Owner,"Dominion Resources, Inc.",SURRY-2
Operator,Dominion Energy,SURRY-2
Construction Start,"Tuesday, 25 June 1968",SURRY-2
First Criticality,"Wednesday, 7 March 1973",SURRY-2
First Grid Connection,"Saturday, 10 March 1973",SURRY-2
Commercial Operation,"Tuesday, 1 May 1973",SURRY-2
Capacity Net,838 MWe,SURRY-2
Capacity Gross,890 MWe,SURRY-2
Thermal Capacity,2587 MWt,SURRY-2
Design Net Capacity,788 MWe,SURRY-2
Total GWh,283304.1,SURRY-2
Reactor Type,Boiling Water Reactor (or BWR),SUSQUEHANNA-1
Model,BWR-4 (Mark 2),SUSQUEHANNA-1
Owner,PPL Corporation,SUSQUEHANNA-1
Operator,PPL Susquehanna LLC,SUSQUEHANNA-1
Construction Start,"Friday, 2 November 1973",SUSQUEHANNA-1
First Criticality,"Friday, 10 September 1982",SUSQUEHANNA-1
First Grid Connection,"Tuesday, 16 November 1982",SUSQUEHANNA-1
Commercial Operation,"Wednesday, 8 June 1983",SUSQUEHANNA-1
Capacity Net,1257 MWe,SUSQUEHANNA-1
Capacity Gross,1330 MWe,SUSQUEHANNA-1
Thermal Capacity,3952 MWt,SUSQUEHANNA-1
Design Net Capacity,1065 MWe,SUSQUEHANNA-1
Total GWh,345444.85,SUSQUEHANNA-1
Reactor Type,Boiling Water Reactor (or BWR),SUSQUEHANNA-2
Model,BWR-4 (Mark 2),SUSQUEHANNA-2
Owner,PPL Corporation,SUSQUEHANNA-2
Operator,PPL Susquehanna LLC,SUSQUEHANNA-2
Construction Start,"Friday, 2 November 1973",SUSQUEHANNA-2
First Criticality,"Tuesday, 8 May 1984",SUSQUEHANNA-2
First Grid Connection,"Tuesday, 3 July 1984",SUSQUEHANNA-2
Commercial Operation,"Tuesday, 12 February 1985",SUSQUEHANNA-2
Capacity Net,1257 MWe,SUSQUEHANNA-2
Capacity Gross,1330 MWe,SUSQUEHANNA-2
Thermal Capacity,3952 MWt,SUSQUEHANNA-2
Design Net Capacity,1065 MWe,SUSQUEHANNA-2
Total GWh,343238.5,SUSQUEHANNA-2
Reactor Type,Pressurised Water Reactor (or PWR),THREE%20MILE%20ISLAND-1
Model,B&W; (L-loop),THREE%20MILE%20ISLAND-1
Owner,Exelon Corporation,THREE%20MILE%20ISLAND-1
Operator,"Exelon Generation Co., Llc",THREE%20MILE%20ISLAND-1
Construction Start,"Saturday, 18 May 1968",THREE%20MILE%20ISLAND-1
First Criticality,"Wednesday, 5 June 1974",THREE%20MILE%20ISLAND-1
First Grid Connection,"Wednesday, 19 June 1974",THREE%20MILE%20ISLAND-1
Commercial Operation,"Monday, 2 September 1974",THREE%20MILE%20ISLAND-1
Permanent Shutdown,"Friday, 20 September 2019",THREE%20MILE%20ISLAND-1
Capacity Net,819 MWe,THREE%20MILE%20ISLAND-1
Capacity Gross,880 MWe,THREE%20MILE%20ISLAND-1
Thermal Capacity,2568 MWt,THREE%20MILE%20ISLAND-1
Design Net Capacity,819 MWe,THREE%20MILE%20ISLAND-1
Total GWh,245500.43,THREE%20MILE%20ISLAND-1
Reactor Type,Pressurised Water Reactor (or PWR),THREE%20MILE%20ISLAND-2
Model,PWR,THREE%20MILE%20ISLAND-2
Owner,,THREE%20MILE%20ISLAND-2
Operator,"General Public Utilities
(Owned By Firstenergy Corp.)",THREE%20MILE%20ISLAND-2
Construction Start,"Saturday, 1 November 1969",THREE%20MILE%20ISLAND-2
First Criticality,"Monday, 27 March 1978",THREE%20MILE%20ISLAND-2
First Grid Connection,"Friday, 21 April 1978",THREE%20MILE%20ISLAND-2
Commercial Operation,"Saturday, 30 December 1978",THREE%20MILE%20ISLAND-2
Permanent Shutdown,"Wednesday, 28 March 1979",THREE%20MILE%20ISLAND-2
Capacity Net,880 MWe,THREE%20MILE%20ISLAND-2
Capacity Gross,959 MWe,THREE%20MILE%20ISLAND-2
Thermal Capacity,2772 MWt,THREE%20MILE%20ISLAND-2
